Date,Actual,Optimized_SARIMA_Forecast
2016-09-01,8698482.0,6251384.683126164
2016-10-01,7904185.0,5231086.101825038
2016-11-01,7390187.0,4315362.90115239
2016-12-01,5770828.0,3731293.788405175
2017-01-01,4853791.0,2793169.0227533034
2017-02-01,5827184.0,3528345.4059228087
2017-03-01,9125343.0,6683872.810179121
2017-04-01,10116951.0,8750573.187619865
2017-05-01,11611715.0,9894606.224831156
2017-06-01,10504935.0,8572804.040086916
2017-07-01,9082903.0,7017037.226977161
2017-08-01,9374477.0,6867167.61685645
2017-09-01,9091460.0,5941322.048026817
2017-10-01,7962955.0,4921023.466609813
2017-11-01,7502906.0,4005300.2660307446
2017-12-01,5876727.0,3421231.1532079577
2018-01-01,5134673.0,2483106.3876171163
2018-02-01,5964908.0,3218282.770737336
2018-03-01,8839478.0,6373810.175033449
2018-04-01,9568485.0,8440510.552442053
2018-05-01,10956227.0,9584543.5896793
2018-06-01,10328519.0,8262741.404914098
2018-07-01,8122226.0,6706974.591821272
2018-08-01,8164314.0,6557104.98168689
2018-09-01,8230582.0,5631259.412868297
2018-10-01,7315472.0,4610960.8314423775
2018-11-01,6428125.0,3695237.630870509
2018-12-01,4905324.0,3111168.5180419073
2019-01-01,4438773.0,2173043.7524557617
2019-02-01,4957161.0,2908220.135572189
2019-03-01,8106086.0,6063747.539871365
2019-04-01,8789443.0,8130447.917277494
2019-05-01,10040641.0,9274480.95451674
2019-06-01,9086365.0,7952678.769749925
2019-07-01,7755944.0,6396911.9566584015
2019-08-01,7425886.0,6247042.346522967
2019-09-01,7358953.0,5321196.777705222
2019-10-01,6509382.0,4300898.196278617
2019-11-01,5652751.0,3385174.9957073024
2019-12-01,4598151.0,2801105.8828782532
2020-01-01,3931603.0,1862981.117292469
2020-02-01,4449171.0,2598157.5004086043
2020-03-01,3960816.0,5753684.904708016
2020-04-01,1643097.0,7820385.282113956
2020-05-01,4390943.0,8964418.319353355
2020-06-01,6745807.0,7642616.134586415
2020-07-01,6277936.0,6086849.321494991
2020-08-01,6110652.0,5936979.711359476
2020-09-01,6404660.0,5011134.142541798
2020-10-01,4951080.0,3990835.5611151396
2020-11-01,4460191.0,3075112.360543868
2020-12-01,4163854.0,2491043.247714784
2021-01-01,2763765.0,1552918.4821290274
2021-02-01,3460867.0,2288094.865245141
2021-03-01,5696800.0,5443622.26954457
2021-04-01,6326641.0,7510322.646950494
2021-05-01,6472294.0,8654355.684189906
2021-06-01,6849952.0,7332553.499422956
2021-07-01,5847114.0,5776786.68633154
2021-08-01,5786020.0,5626917.076196019
2021-09-01,5609918.0,4701071.507378346
2021-10-01,5931955.0,3680772.925951684
2021-11-01,4306017.0,2765049.725380415
2021-12-01,3884924.0,2180980.6125513287
2022-01-01,3527569.0,1242855.846965575
2022-02-01,3932475.0,1978032.230081686
2022-03-01,5298968.0,5133559.634381116
2022-04-01,4884010.0,7200260.011787041
2022-05-01,5228615.0,8344293.049026453
2022-06-01,6129465.0,7022490.864259502
2022-07-01,4736452.0,5466724.051168087
2022-08-01,6199230.0,5316854.441032565
2022-09-01,4637223.0,4391008.872214892
2022-10-01,3873987.0,3370710.290788229
2022-11-01,4339192.0,2454987.090216961
2022-12-01,3634891.0,1870917.977387875
2023-01-01,3237116.0,932793.2118021206
2023-02-01,3719138.0,1667969.5949182317
2023-03-01,4940515.0,4823496.999217663
2023-04-01,4760790.0,6890197.376623586
2023-05-01,5618018.0,8034230.413862999
2023-06-01,6931717.0,6712428.229096048
2023-07-01,4700526.0,5156661.416004633
2023-08-01,5524332.0,5006791.805869111
2023-09-01,5741361.0,4080946.237051438
2023-10-01,4243062.0,3060647.655624775
2023-11-01,4027578.0,2144924.455053507
2023-12-01,4341807.0,1560855.3422244205
2024-01-01,3403758.0,622730.5766386662
2024-02-01,3389945.0,1357906.9597547776
2024-03-01,4972380.0,4513434.364054209
2024-04-01,5317382.0,6580134.7414601315
2024-05-01,6166262.0,7724167.778699544
2024-06-01,4977108.0,6402365.593932593
2024-07-01,5254248.0,4846598.780841178
2024-08-01,5081357.0,4696729.1707056565
2024-09-01,5208652.0,3770883.6018879837
