Date,Actual,ARIMA_Forecast
2019-03-01,8106086.0,5776497.1401281515
2019-04-01,8789443.0,5776497.1401281515
2019-05-01,10040641.0,5776497.1401281515
2019-06-01,9086365.0,5776497.1401281515
2019-07-01,7755944.0,5776497.1401281515
2019-08-01,7425886.0,5776497.1401281515
2019-09-01,7358953.0,5776497.1401281515
2019-10-01,6509382.0,5776497.1401281515
2019-11-01,5652751.0,5776497.1401281515
2019-12-01,4598151.0,5776497.1401281515
2020-01-01,3931603.0,5776497.1401281515
2020-02-01,4449171.0,5776497.1401281515
2020-03-01,3960816.0,5776497.1401281515
2020-04-01,1643097.0,5776497.1401281515
2020-05-01,4390943.0,5776497.1401281515
2020-06-01,6745807.0,5776497.1401281515
2020-07-01,6277936.0,5776497.1401281515
2020-08-01,6110652.0,5776497.1401281515
2020-09-01,6404660.0,5776497.1401281515
2020-10-01,4951080.0,5776497.1401281515
2020-11-01,4460191.0,5776497.1401281515
2020-12-01,4163854.0,5776497.1401281515
2021-01-01,2763765.0,5776497.1401281515
2021-02-01,3460867.0,5776497.1401281515
2021-03-01,5696800.0,5776497.1401281515
2021-04-01,6326641.0,5776497.1401281515
2021-05-01,6472294.0,5776497.1401281515
2021-06-01,6849952.0,5776497.1401281515
2021-07-01,5847114.0,5776497.1401281515
2021-08-01,5786020.0,5776497.1401281515
2021-09-01,5609918.0,5776497.1401281515
2021-10-01,5931955.0,5776497.1401281515
2021-11-01,4306017.0,5776497.1401281515
2021-12-01,3884924.0,5776497.1401281515
2022-01-01,3527569.0,5776497.1401281515
2022-02-01,3932475.0,5776497.1401281515
2022-03-01,5298968.0,5776497.1401281515
2022-04-01,4884010.0,5776497.1401281515
2022-05-01,5228615.0,5776497.1401281515
2022-06-01,6129465.0,5776497.1401281515
2022-07-01,4736452.0,5776497.1401281515
2022-08-01,6199230.0,5776497.1401281515
2022-09-01,4637223.0,5776497.1401281515
2022-10-01,3873987.0,5776497.1401281515
2022-11-01,4339192.0,5776497.1401281515
2022-12-01,3634891.0,5776497.1401281515
2023-01-01,3237116.0,5776497.1401281515
2023-02-01,3719138.0,5776497.1401281515
2023-03-01,4940515.0,5776497.1401281515
2023-04-01,4760790.0,5776497.1401281515
2023-05-01,5618018.0,5776497.1401281515
2023-06-01,6931717.0,5776497.1401281515
2023-07-01,4700526.0,5776497.1401281515
2023-08-01,5524332.0,5776497.1401281515
2023-09-01,5741361.0,5776497.1401281515
2023-10-01,4243062.0,5776497.1401281515
2023-11-01,4027578.0,5776497.1401281515
2023-12-01,4341807.0,5776497.1401281515
2024-01-01,3403758.0,5776497.1401281515
2024-02-01,3389945.0,5776497.1401281515
2024-03-01,4972380.0,5776497.1401281515
2024-04-01,5317382.0,5776497.1401281515
2024-05-01,6166262.0,5776497.1401281515
2024-06-01,4977108.0,5776497.1401281515
2024-07-01,5254248.0,5776497.1401281515
2024-08-01,5081357.0,5776497.1401281515
2024-09-01,5208652.0,5776497.1401281515
