Date,Actual,SARIMA_Forecast
2016-08-01,8797715.0,7855939.103433775
2016-09-01,8698482.0,6974641.799163774
2016-10-01,7904185.0,5990914.369423505
2016-11-01,7390187.0,5162972.593209545
2016-12-01,5770828.0,4610213.641320871
2017-01-01,4853791.0,3556799.779892445
2017-02-01,5827184.0,4282696.753790483
2017-03-01,9125343.0,7514174.360464063
2017-04-01,10116951.0,9445014.048491957
2017-05-01,11611715.0,10577450.836926237
2017-06-01,10504935.0,9248682.221444707
2017-07-01,9082903.0,7762524.771046666
2017-08-01,9374477.0,7643247.728975961
2017-09-01,9091460.0,6761950.407823383
2017-10-01,7962955.0,5778222.988925721
2017-11-01,7502906.0,4950281.276089129
2017-12-01,5876727.0,4397522.3436708255
2018-01-01,5134673.0,3344108.431053996
2018-02-01,5964908.0,4070005.399176242
2018-03-01,8839478.0,7301483.010291354
2018-04-01,9568485.0,9232322.691079326
2018-05-01,10956227.0,10364759.477784839
2018-06-01,10328519.0,9035990.863496797
2018-07-01,8122226.0,7549833.414001416
2018-08-01,8164314.0,7430556.379817155
2018-09-01,8230582.0,6549259.056392186
2018-10-01,7315472.0,5565531.638953934
2018-11-01,6428125.0,4737589.9346479215
2018-12-01,4905324.0,4184831.004850323
2019-01-01,4438773.0,3131417.085343547
2019-02-01,4957161.0,3857314.052688373
2019-03-01,8106086.0,7088791.664401313
2019-04-01,8789443.0,9019631.344214795
2019-05-01,10040641.0,10152068.130687617
2019-06-01,9086365.0,8823299.51656022
2019-07-01,7755944.0,7337142.067186335
2019-08-01,7425886.0,7217865.034063588
2019-09-01,7358953.0,6336567.710332757
2019-10-01,6509382.0,5352840.293090941
2019-11-01,5652751.0,4524898.589933141
2019-12-01,4598151.0,3972139.6604882893
2020-01-01,3931603.0,2918725.740054129
2020-02-01,4449171.0,3644622.707294314
2020-03-01,3960816.0,6876100.319087722
2020-04-01,1643097.0,8806939.99877004
2020-05-01,4390943.0,9939376.785211539
2020-06-01,6745807.0,8610608.171105763
2020-07-01,6277936.0,7124450.721748233
2020-08-01,6110652.0,7005173.688768365
2020-09-01,6404660.0,6123876.364996364
2020-10-01,4951080.0,5140148.947780989
2020-11-01,4460191.0,4312207.244777738
2020-12-01,4163854.0,3759448.315380366
2021-01-01,2763765.0,2706034.3948213803
2021-02-01,3460867.0,3431931.362047481
2021-03-01,5696800.0,6663408.97385172
2021-04-01,6326641.0,8594248.65351638
2021-05-01,6472294.0,9726685.439953666
2021-06-01,6849952.0,8397916.825850802
2021-07-01,5847114.0,6911759.376495471
2021-08-01,5786020.0,6792482.343534835
2021-09-01,5609918.0,5911185.019757293
2021-10-01,5931955.0,4927457.6025454765
2021-11-01,4306017.0,4099515.899563028
2021-12-01,3884924.0,3546756.9701720467
2022-01-01,3527569.0,2493343.049596259
2022-02-01,3932475.0,3219240.016820464
2022-03-01,5298968.0,6450717.628626161
2022-04-01,4884010.0,8381557.308288445
2022-05-01,5228615.0,9513994.094725162
2022-06-01,6129465.0,8185225.480622688
2022-07-01,4736452.0,6699068.031267656
2022-08-01,6199230.0,6579790.998309608
2022-09-01,4637223.0,5698493.674531321
2022-10-01,3873987.0,4714766.257319984
2022-11-01,4339192.0,3886824.5543403365
2022-12-01,3634891.0,3334065.624950215
2023-01-01,3237116.0,2280651.7043721667
2023-02-01,3719138.0,3006548.6715961155
2023-03-01,4940515.0,6238026.28340201
2023-04-01,4760790.0,8168865.963063973
2023-05-01,5618018.0,9301302.749500616
2023-06-01,6931717.0,7972534.135398193
2023-07-01,4700526.0,6486376.6860432
2023-08-01,5524332.0,6367099.6530855
2023-09-01,5741361.0,5485802.329307113
2023-10-01,4243062.0,4502074.91209584
2023-11-01,4027578.0,3674133.2091165683
2023-12-01,4341807.0,3121374.279726563
2024-01-01,3403758.0,2067960.3591482097
2024-02-01,3389945.0,2793857.3263721247
2024-03-01,4972380.0,6025334.938178044
2024-04-01,5317382.0,7956174.617839966
2024-05-01,6166262.0,9088611.404276596
2024-06-01,4977108.0,7759842.790174184
2024-07-01,5254248.0,6273685.340819197
2024-08-01,5081357.0,6154408.307861544
2024-09-01,5208652.0,5273110.984083143
